Rank,Document-ID,Document-Score,Relevance,Precision,Recall,NDCG
1,2714,6.518863892820776,1,1.0,0.09090909090909091,1.0
2,2664,6.361193328239626,1,1.0,0.18181818181818182,1.0
3,2973,6.358943029902417,1,1.0,0.2727272727272727,1.0
4,2785,6.098958382932746,0,0.75,0.2727272727272727,0.8403030283801005
5,2685,5.992669482780828,0,0.6,0.2727272727272727,0.7386919056633241
6,2433,5.966053299737788,0,0.5,0.2727272727272727,0.6663180938082345
7,950,5.924532967885141,1,0.5714285714285714,0.36363636363636365,0.6939299653784159
8,1262,5.837367235321383,0,0.5,0.36363636363636365,0.6440571739925699
9,2266,5.826888637979669,1,0.5555555555555556,0.45454545454545453,0.66672564358271
10,2700,5.7427868185227124,0,0.5,0.45454545454545453,0.6285289308166818
11,2896,5.734134995939526,0,0.45454545454545453,0.45454545454545453,0.5957547517844529
12,1158,5.690684095895541,0,0.4166666666666667,0.45454545454545453,0.5957547517844529
13,3075,5.6682837903755425,1,0.46153846153846156,0.5454545454545454,0.6445028823529461
14,1828,5.664123880858041,0,0.42857142857142855,0.5454545454545454,0.6445028823529461
15,3156,5.620738691215249,1,0.4666666666666667,0.6363636363636364,0.6906750272150376
16,1601,5.528016712254266,1,0.5,0.7272727272727273,0.7357724068502325
17,1811,5.4988934740730055,0,0.47058823529411764,0.7272727272727273,0.7357724068502325
18,141,5.466124803833196,1,0.5,0.8181818181818182,0.7790320622345346
19,392,5.371452115100625,0,0.47368421052631576,0.8181818181818182,0.7790320622345346
20,1302,5.371452115100625,0,0.45,0.8181818181818182,0.7790320622345346
21,1613,5.31427745743464,0,0.42857142857142855,0.8181818181818182,0.7790320622345346
22,2182,5.191615674333436,0,0.4090909090909091,0.8181818181818182,0.7790320622345346
23,2660,5.148522487448754,0,0.391304347826087,0.8181818181818182,0.7790320622345346
24,2557,5.102498609112697,0,0.375,0.8181818181818182,0.7790320622345346
25,1367,5.064447245630476,0,0.36,0.8181818181818182,0.7790320622345346
26,1795,4.983073777062326,0,0.34615384615384615,0.8181818181818182,0.7790320622345346
27,1468,4.9789906013884995,0,0.3333333333333333,0.8181818181818182,0.7790320622345346
28,2401,4.948010109371624,0,0.32142857142857145,0.8181818181818182,0.7790320622345346
29,2895,4.922871301137722,0,0.3103448275862069,0.8181818181818182,0.7790320622345346
30,2952,4.827927446854279,0,0.3,0.8181818181818182,0.7790320622345346
31,2342,4.826592300376235,0,0.2903225806451613,0.8181818181818182,0.7790320622345346
32,2851,4.709326108197897,0,0.28125,0.8181818181818182,0.7790320622345346
