Rank,Document-ID,Document-Score,Relevance,Precision,Recall,NDCG
1,3127,14.40476558610547,1,1.0,0.2,1.0
2,2246,10.43003385150113,1,1.0,0.4,1.0
3,1930,8.589933060437984,0,0.6666666666666666,0.4,0.7601875334318686
4,3196,8.381982796821983,0,0.5,0.4,0.638787886479598
5,3068,5.508354856092458,0,0.4,0.4,0.5615443777322889
6,2593,5.460499308417991,0,0.3333333333333333,0.4,0.5615443777322889
7,2740,5.343020348527187,0,0.2857142857142857,0.4,0.5615443777322889
8,2319,5.3366264528653105,0,0.25,0.4,0.5615443777322889
9,2379,5.189560999678649,0,0.2222222222222222,0.4,0.5615443777322889
10,1680,5.138557911555516,0,0.2,0.4,0.5615443777322889
11,2629,5.058379875877375,1,0.2727272727272727,0.6,0.6427057417417741
12,1591,5.054557086251675,0,0.25,0.6,0.6427057417417741
13,1462,5.008024632226972,0,0.23076923076923078,0.6,0.6427057417417741
14,1461,4.971087349183238,0,0.21428571428571427,0.6,0.6427057417417741
15,2632,4.9337722114527285,0,0.2,0.6,0.6427057417417741
16,2597,4.869002536357964,0,0.1875,0.6,0.6427057417417741
17,2735,4.8336900240928555,0,0.17647058823529413,0.6,0.6427057417417741
18,2482,4.754621193124574,0,0.16666666666666666,0.6,0.6427057417417741
19,1236,4.749482962486368,0,0.15789473684210525,0.6,0.6427057417417741
20,2796,4.715008893588061,0,0.15,0.6,0.6427057417417741
21,2424,4.714153921812834,0,0.14285714285714285,0.6,0.6427057417417741
22,1033,4.683888046705716,0,0.13636363636363635,0.6,0.6427057417417741
23,1755,4.63541333072643,0,0.13043478260869565,0.6,0.6427057417417741
24,1750,4.562782307764872,0,0.125,0.6,0.6427057417417741
25,1472,4.557620222518619,0,0.12,0.6,0.6427057417417741
26,2357,4.555950213978884,0,0.11538461538461539,0.6,0.6427057417417741
27,2541,4.55374334539259,0,0.1111111111111111,0.6,0.6427057417417741
28,2868,4.522006012028936,0,0.10714285714285714,0.6,0.6427057417417741
29,2317,4.482973819036097,0,0.10344827586206896,0.6,0.6427057417417741
30,2111,4.467231355530862,0,0.1,0.6,0.6427057417417741
31,2920,4.445587652206751,0,0.0967741935483871,0.6,0.6427057417417741
32,2080,4.442129012839603,1,0.125,0.8,0.698860179515003
33,2867,4.433353680862928,0,0.12121212121212122,0.8,0.698860179515003
34,1334,4.4257187387556085,0,0.11764705882352941,0.8,0.698860179515003
35,1534,4.3925771004576015,0,0.11428571428571428,0.8,0.698860179515003
36,1247,4.373088487921128,0,0.1111111111111111,0.8,0.698860179515003
37,2840,4.369174440639496,0,0.10810810810810811,0.8,0.698860179515003
38,1728,4.358606661313431,0,0.10526315789473684,0.8,0.698860179515003
39,3025,4.346940775169382,0,0.10256410256410256,0.8,0.698860179515003
40,2378,4.3027688795830645,0,0.1,0.8,0.698860179515003
41,2064,4.284737508178781,0,0.0975609756097561,0.8,0.698860179515003
42,1519,4.27120433085334,0,0.09523809523809523,0.8,0.698860179515003
43,2153,4.260618183906038,0,0.09302325581395349,0.8,0.698860179515003
44,2798,4.207300948753132,0,0.09090909090909091,0.8,0.698860179515003
45,1657,4.203269377756126,0,0.08888888888888889,0.8,0.698860179515003
46,2126,4.196266248851002,0,0.08695652173913043,0.8,0.698860179515003
47,2372,4.1881807103082345,0,0.0851063829787234,0.8,0.698860179515003
48,1168,4.1483156351239225,0,0.08333333333333333,0.8,0.698860179515003
49,1766,4.142685017973253,0,0.08163265306122448,0.8,0.698860179515003
50,2399,4.13380336277134,0,0.08,0.8,0.698860179515003
51,1752,4.130664841537127,0,0.0784313725490196,0.8,0.698860179515003
52,2320,4.128089100777457,0,0.07692307692307693,0.8,0.698860179515003
53,3089,4.0960568938809,0,0.07547169811320754,0.8,0.698860179515003
54,585,4.093307232647463,0,0.07407407407407407,0.8,0.698860179515003
55,972,4.093307232647463,0,0.07272727272727272,0.8,0.698860179515003
56,1912,4.0917475942035555,0,0.07142857142857142,0.8,0.698860179515003
57,2069,4.083882754490783,0,0.07017543859649122,0.8,0.698860179515003
58,322,4.077979530801342,0,0.06896551724137931,0.8,0.698860179515003
59,2092,4.047563328570025,0,0.06779661016949153,0.8,0.698860179515003
60,3174,4.023247564055803,0,0.06666666666666667,0.8,0.698860179515003
61,1324,4.021641177847881,0,0.06557377049180328,0.8,0.698860179515003
62,1902,3.9941177797320595,0,0.06451612903225806,0.8,0.698860179515003
63,1853,3.9499063516569435,0,0.06349206349206349,0.8,0.698860179515003
64,1264,3.9480441597292684,0,0.0625,0.8,0.698860179515003
65,1747,3.9440659931557125,0,0.06153846153846154,0.8,0.698860179515003
66,2218,3.9241970387190244,0,0.06060606060606061,0.8,0.698860179515003
67,1938,3.9209580889887565,0,0.05970149253731343,0.8,0.698860179515003
68,2777,3.9186640487216846,0,0.058823529411764705,0.8,0.698860179515003
69,1071,3.9071151472404013,0,0.057971014492753624,0.8,0.698860179515003
70,1163,3.882899718588713,0,0.05714285714285714,0.8,0.698860179515003
71,1923,3.882899718588713,0,0.056338028169014086,0.8,0.698860179515003
72,1749,3.878093502642109,0,0.05555555555555555,0.8,0.698860179515003
73,3137,3.875409246589966,0,0.0547945205479452,0.8,0.698860179515003
74,3087,3.836409137323619,0,0.05405405405405406,0.8,0.698860179515003
75,1464,3.8138232037223525,0,0.05333333333333334,0.8,0.698860179515003
76,1951,3.811538878553905,0,0.05263157894736842,0.8,0.698860179515003
77,2950,3.8052903220852734,0,0.05194805194805195,0.8,0.698860179515003
78,1533,3.8034234606741704,0,0.05128205128205128,0.8,0.698860179515003
79,252,3.796289140923755,0,0.05063291139240506,0.8,0.698860179515003
80,1108,3.795925214954096,0,0.05,0.8,0.698860179515003
81,202,3.789123430711286,0,0.04938271604938271,0.8,0.698860179515003
82,1751,3.771957809035694,0,0.04878048780487805,0.8,0.698860179515003
83,2219,3.764803699034754,0,0.04819277108433735,0.8,0.698860179515003
84,2536,3.7615777534350805,0,0.047619047619047616,0.8,0.698860179515003
85,1034,3.74695328474057,0,0.047058823529411764,0.8,0.698860179515003
86,2151,3.7456821856402476,0,0.046511627906976744,0.8,0.698860179515003
87,1924,3.743264032704412,0,0.04597701149425287,0.8,0.698860179515003
88,2618,3.7238842687744094,0,0.045454545454545456,0.8,0.698860179515003
89,2681,3.72114729986483,0,0.0449438202247191,0.8,0.698860179515003
90,1226,3.6968531779329608,0,0.044444444444444446,0.8,0.698860179515003
91,3023,3.6848478767107715,0,0.04395604395604396,0.8,0.698860179515003
92,2624,3.673805909373442,0,0.043478260869565216,0.8,0.698860179515003
93,2741,3.673805909373442,0,0.043010752688172046,0.8,0.698860179515003
94,2065,3.6591067385261526,0,0.0425531914893617,0.8,0.698860179515003
95,2105,3.641657916353507,0,0.042105263157894736,0.8,0.698860179515003
96,2358,3.6319776657327014,0,0.041666666666666664,0.8,0.698860179515003
97,1960,3.6266303566156055,0,0.041237113402061855,0.8,0.698860179515003
98,1652,3.62294370302158,0,0.04081632653061224,0.8,0.698860179515003
99,2621,3.595499699462545,0,0.04040404040404041,0.8,0.698860179515003
100,2582,3.5837309785746614,0,0.04,0.8,0.698860179515003
